timestamp,host,value
1493338681,s01,0
1493338690,h02,0.7
1493338690,h03,0.57
1493338690,h01,1.12
1493338691,s01,0
1493338700,h01,1.11
1493338700,h03,0.71
1493338700,h02,0.74
1493338701,s01,0
1493338710,h02,0.86
1493338710,h03,0.75
1493338710,h01,1.09
1493338711,s01,0
1493338720,h01,1.59
1493338720,h03,0.71
1493338720,h02,0.88
1493338721,s01,0
1493338730,h02,0.82
1493338730,h03,0.68
1493338730,h01,1.65
1493338731,s01,0
1493338740,h01,1.7
1493338740,h03,0.8
1493338740,h02,0.93
1493338741,s01,0
1493338750,h02,1.02
1493338750,h03,0.98
1493338750,h01,1.59
1493338751,s01,0
1493338760,h01,1.5
1493338760,h03,1.21
1493338760,h02,1.1
1493338761,s01,0
1493338770,h02,1.08
1493338770,h03,1.1
1493338770,h01,1.5
1493338771,s01,0
1493338780,h01,1.42
1493338780,h03,1.16
1493338780,h02,1.07
1493338781,s01,0
1493338790,h02,0.98
1493338790,h03,1.53
1493338790,h01,1.58
1493338791,s01,0
1493338800,h01,1.65
1493338800,h03,1.37
1493338800,h02,0.99
1493338801,s01,0.16
1493338810,h02,0.99
1493338810,h03,1.4
1493338810,h01,1.78
1493338811,s01,0.13
1493338820,h01,1.66
1493338820,h03,1.5
1493338820,h02,0.99
1493338821,s01,0.11
1493338830,h02,1.43
1493338830,h03,1.5
1493338830,h01,1.79
1493338831,s01,0.1
1493338840,h01,1.59
1493338840,h03,1.65
1493338840,h02,1.36
1493338841,s01,0.08
1493338850,h02,1.39
1493338850,h03,1.4
1493338850,h01,1.49
1493338851,s01,0.07
1493338860,h01,1.26
1493338860,h03,1.18
1493338860,h02,1.17
1493338861,s01,0.06
1493338870,h02,0.99
1493338870,h03,1
1493338870,h01,1.14
1493338871,s01,0.13
1493338880,h01,0.96
1493338880,h03,0.85
1493338880,h02,0.92
1493338881,s01,0.11
1493338890,h02,0.86
1493338890,h03,0.72
1493338890,h01,0.96
1493338891,s01,0.09
1493338900,h01,0.9
1493338900,h03,0.61
1493338900,h02,1.05
1493338901,s01,0.08
1493338910,h02,1.2
1493338910,h03,0.51
1493338910,h01,0.84
1493338911,s01,0.06
1493338920,h01,0.95
1493338920,h03,0.43
1493338920,h02,1.02
1493338921,s01,0.05
1493338930,h02,1.02
1493338930,h03,0.44
1493338930,h01,0.88
1493338931,s01,0.04
1493338940,h01,0.75
1493338940,h03,0.37
1493338940,h02,1.26
1493338941,s01,0.04
1493338950,h02,1.06
1493338950,h03,0.47
1493338950,h01,0.85
1493338951,s01,0.03
1493338960,h01,1.5
1493338960,h03,0.56
1493338960,h02,0.9
1493338961,s01,0.03
1493338970,h02,0.76
1493338970,h03,0.47
1493338970,h01,1.35
1493338971,s01,0.02
1493338980,h01,1.14
